level,points,total_entries,non_zeros,zeros,pattern_changes,change_pct
0,680,12297800,1491145,10806655,1324993,10.790096
1,168,3038280,343421,2694859,280381,9.283540
2,40,723400,122142,601258,84297,11.951681
3,11,198935,44073,154862,32511,17.976776
4,3,54255,934,53321,1088,3.008018
3,12,217020,58083,158937,38795,19.501345
4,3,54255,18893,35362,8204,22.681780
4,3,54255,9175,45080,8343,23.066077
3,13,235105,19369,215736,15628,7.201180
4,5,90425,13069,77356,10604,14.658557
5,2,36170,240,35930,232,1.282831
4,5,90425,5411,85014,5433,7.510368
5,2,36170,445,35725,427,2.361073
0,680,12297800,1491145,10806655,1324993,10.790096
1,168,3038280,343421,2694859,280381,9.283540
2,40,723400,122142,601258,84297,11.951681
3,11,198935,44073,154862,32511,17.976776
4,3,54255,934,53321,1088,3.008018
3,12,217020,58083,158937,38795,19.501345
4,3,54255,18893,35362,8204,22.681780
4,3,54255,9175,45080,8343,23.066077
3,13,235105,19369,215736,15628,7.201180
4,5,90425,13069,77356,10604,14.658557
5,2,36170,240,35930,232,1.282831
4,5,90425,5411,85014,5433,7.510368
5,2,36170,445,35725,427,2.361073
